,0,1,2,3,4
0,ローザロッチェ,542-0081,大阪府大阪市中央区南船場2-12-22 ハートンホテル南船場 1F,050-5869-5371,2007年
1,フフレキッチン,380-0861,長野県長野市大字長野横沢町749-1 ,050-5570-8139,None
2,ESPRESSO D WORKS,150-0013,東京都渋谷区恵比寿1-22-19 プライムメゾン　1Ｆ,03-6447-7277,2014年10月8日
3,サロカフェ,None,東京都新宿区新宿3-9-4 増蔵ビル3F,050-5594-0749,2011年3月1日
4,Salut,460-0008,愛知県名古屋市中区栄3-23-20 ラパンセビル 1F,050-5869-8003,2000年6月
5,300B 3000ONE,171-0021,東京都豊島区西池袋3-30-11 泰共ビル　１Ｆ,050-5872-3688,1975年
6,珈琲 花,659-0064,兵庫県芦屋市精道町4-14 ,050-5594-1869,1996年
7,ア・ドゥマン,650-0021,兵庫県神戸市中央区三宮町1-7-19 北星ビル 4・5F,050-5596-2891,2018年7月30日
8,星野デザートアート,542-0071,大阪府大阪市中央区道頓堀1-1-5 新日本道頓堀ビル 2F,050-5596-5177,2018年10月17日
9,パンケーキカフェ cafeblow,598-0021,大阪府泉佐野市日根野3963-3 ,050-5596-4532,None
10,ドゥ マゴ パリ 本店 ,150-0043,東京都渋谷区道玄坂2-24-1 東急文化村　Ｂ１Ｆ,050-5596-3663,None
11,アヴァンセ,460-0001,愛知県名古屋市中区三の丸1-5-1 KKRホテル名古屋 1F,050-5596-1773,None
12,Trattoria dello Zio,108-0074,東京都港区高輪2-2-25 ルミナス高輪 1F,050-5592-6624,2016年8月19日
13,ロビーラウンジ 3000ファウンテン,870-0029,大分県大分市高砂町2-48 ホテル日航大分 オアシスタワー 1F,050-5595-1934,None
14,TSUKUMO食堂 豊田t-FACE店,471-0026,愛知県豊田市若宮町1-57-1 t-FACE B館 8F,050-5595-8473,2018年7月20日
15,MONDIAL KAFFEE 328 GUT WOLF,550-0015,大阪府大阪市西区南堀江1-1-20 大阪屋ビル 1F,050-5596-4469,2015年11月23日
16,TSUKUMO食堂,471-0046,愛知県豊田市本新町5-85-6 ,050-5595-3264,2018年4月5日
17,ロビーラウンジ 「マーブルラウンジ」 ヒルトン東京,None,東京都新宿区西新宿6-6-2 ヒルトン東京  1F,050-5571-0859,1984年9月1日
18,リグノーサカフェ,458-0851,愛知県名古屋市緑区熊の前1-801 ,050-5595-5511,2011年12月19日
19,ルヴァン,336-0031,埼玉県さいたま市南区鹿手袋4-1-7 建産連会館 1F,050-5590-8721,2016年5月10日
20,SLOW cafe,020-0022,岩手県盛岡市大通3-1-30 ,050-5594-5468,2017年9月23日
21,チョココズ・キッチン 中丸本店,462-0056,愛知県名古屋市北区中丸町3-15-2 Chez Chococo 2F,050-5596-4910,2016年10月1日
22,カフェ カシュ カシュ,422-8006,静岡県静岡市駿河区曲金3-6-18 ,050-5595-7988,2013年9月26日
23,ゾーイ カップケイクス アンドカフェ,064-0801,北海道札幌市中央区南1条西22-2-1 ,050-5594-2245,2015年9月4日
24,カナダカン 廿日市店,738-0042,広島県廿日市市地御前1-23-27 ,050-5594-1276,1981年12月5日
25,ミラノ ドルチェ トレ・スパーデ,106-0044,東京都港区東麻布2-12-3 島口ビル1F,050-5594-5397,2015年9月8日
26,Foodies Stand,479-0881,愛知県愛知県常滑市セントレア1-1 中部国際空港セントレア ,050-5596-4357,None
27,猿カフェ 栄町店,460-0008,愛知県名古屋市中区栄3-4-25 柳井ビル1F,050-5596-1245,None
28,Q-pot CAFE. 表参道本店,150-0001,東京都渋谷区神宮前3‐4‐8 1F,050-5593-3678,2018年4月7日
29,きらりCUCINA 近鉄百貨店橿原店,634-0005,奈良県橿原市北八木町3-65-11 近鉄百貨店 橿原店 7F,050-5594-6209,2016年3月
30,ベッラ ルーナ,171-0044,東京都豊島区千早1-15-10 千早ビル 102,050-5592-8722,2016年11月23日
31,インプレイス 3-3 ヒルトン名古屋,460-0008,愛知県名古屋市中区栄1-3-3 1F,050-5596-6325,2018年12月9日
32,CHEESE CRAFT WORKS 玉川高島屋S.C店,158-0094,東京都世田谷区玉川3-17-1 玉川高島屋S･C 南館 8F,050-5595-6299,None
33,雪月花,None,京都府京都市中京区三条通冨小路西入ル中之町20 ＳＡＣＲＡビル　Ｂ１・１Ｆ,050-5589-8035,None
34,カフェゴーサンブランチ,448-0028,愛知県刈谷市桜町1-53 プロス桜ビル 1F,050-5868-5892,2013年4月6日
35,"what will be, will be. 4th floor",650-0021,兵庫県神戸市中央区三宮町1-7-1 友信ビル 4F,050-5595-8790,2015年8月11日
36,Sghr cafe Aoyama,107-0061,東京都港区北青山3-10-18 北青山本田ビル 1F,050-5590-6227,2015年5月1日
37,BON POINT CARDIN,482-0015,愛知県岩倉市川井町折口59-1 ,050-5595-6481,2007年7月19日
38,カフェ 寛美堂,None,東京都足立区千住4-20-1 2F,050-5596-6029,2018年10月8日
39,A to Z cafe,107-0062,東京都港区南青山5-8-3 ｅｑｕｂｏビル　５Ｆ,050-5868-1398,2006年2月
40,北カフェ,064-0808,北海道札幌市中央区南8条西14-2-2 ,011-596-8596,2013年6月15日
41,宇田川カフェ 別館,150-0042,東京都渋谷区宇田川町36-3 営和ビル　６Ｆ,050-5890-2935,2010年7月20日
42,アトリウムラウンジ,107-0052,東京都港区赤坂1-12-33 ANAインターコンチネンタルホテル東京,050-5595-5877,None
43,Rcafe at Marina,520-0241,滋賀県大津市今堅田1-2-20 レイクウエストヨットクラブ 2F,050-5596-2032,2015年8月1日
44,per primo,545-0021,大阪府大阪市阿倍野区阪南町5-22-14 ,050-5594-9184,2017年12月11日
45,ソイソイカフェ 本店,905-0213,沖縄県国頭郡本部町字谷茶10 ,050-5595-1949,2017年2月17日
46,カフェレストラン ルシェッロ,930-0082,富山県富山市桜木町3-11 1F,050-5596-1197,2018年2月20日
47,ディッシュ パレード,732-0822,広島県広島市南区松原町1-5 ホテルグランヴィア広島,050-5890-8957,2015年4月6日
48,パステレリア  テテ   ホテルマリターレ創世店  ,840-0804,佐賀県佐賀市神野東2-5-15 1F,050-5594-6816,2017年7月
49,#602 CAFE&DINER 福岡ソラリアプラザ店,810-0001,福岡県福岡市中央区天神2丁目2-43 ソラリアプラザ ラザ 6F,050-5590-8447,2014年5月30日
50,鶴と私の恩返し,160-0000,東京都新宿区新宿1-18-17 関口ビル 1F,050-5595-6267,2018年6月1日
51,フェ・デ・ネージュ,680-0802,鳥取県鳥取市青葉町2-101 ,050-5596-5026,None
52,カフェ・マディ 青山店,107-0062,東京都港区南青山5-8-1 セーヌアキラビル　１Ｆ,050-5592-6456,1994年6月30日
53,スズカフェ銀座,104-0061,東京都中央区銀座2-6-5 銀座トレシャス　６Ｆ,050-5890-7278,2010年4月16日
54,シースケープ テラス・ダイニング,135-0091,東京都港区台場1-9-1 ヒルトン東京お台場,050-5593-1140,2016年12月31日
55,イエローラボ,553-0000,大阪府大阪市福島区福島1-2-10 ,050-5596-1696,2018年4月1日
56,ラウンジ・オー ヒルトン東京ベイ,279-0031,千葉県浦安市舞浜1-8 ヒルトン東京ベイ,050-5595-9147,None
57,神戸齋藤珈琲店,657-0838,兵庫県神戸市灘区王子町1-3-16 ,050-5595-3476,2010年8月1日
